company_name,industry,job_title,skills_required,experience_level,employment_type,location,posted_date,company_size,tools_preferred,salary_min,salary_max
Gross PLC,E-commerce,Computer Vision Engineer,"CUDA, Excel, Keras, C++, PyTorch, GCP",Mid,Remote,"Billyton, LS",2024-11-15,Large,PyTorch,102252,156748
Lee-Johnson,Retail,AI Product Manager,"GCP, C++, MLflow, PyTorch, Scikit-learn, FastAPI",Entry,Internship,"Rachelside, MM",2024-03-10,Startup,"TensorFlow, KDB+",75063,90302
Kelly Group,Education,Data Analyst,"Pandas, LangChain, Excel, Power BI, Keras",Entry,Full-time,"East Robertmouth, SO",2025-06-08,Mid,Scikit-learn,49065,72252
Johnson-Guzman,Automotive,NLP Engineer,"Power BI, Reinforcement Learning, LangChain, SQL, Excel, Scikit-learn",Entry,Contract,"Elizabethbury, VE",2024-12-17,Mid,"TensorFlow, PyTorch, MLflow",138980,186003
Schneider-Barnett,Finance,AI Researcher,"TensorFlow, CUDA, Reinforcement Learning, GCP, Excel",Entry,Internship,"Jenniferfurt, SN",2024-10-24,Mid,PyTorch,116702,165765
"Evans, Le and Gomez",Education,NLP Engineer,"Keras, NumPy, Reinforcement Learning, Azure, GCP, Power BI",Senior,Full-time,"Phyllisburgh, BS",2024-03-21,Startup,BigQuery,49864,72810
Wade PLC,Tech,AI Researcher,"Power BI, Keras, GCP, FastAPI",Entry,Remote,"Greenmouth, VC",2023-12-08,Large,TensorFlow,105130,146172
Figueroa LLC,Healthcare,Data Analyst,"MLflow, FastAPI, Azure, Keras, Pandas, CUDA",Entry,Internship,"East Nathan, MV",2024-12-29,Startup,Scikit-learn,74633,121776
Marshall LLC,Healthcare,Quant Researcher,"MLflow, TensorFlow, CUDA, GCP",Senior,Remote,"Peterville, SM",2025-07-13,Large,"BigQuery, MLflow, KDB+",56993,155521
"Browning, Sanchez and Elliott",Automotive,Computer Vision Engineer,"Python, Pandas, LangChain, PyTorch, Hugging Face",Entry,Full-time,"Spearshaven, RU",2023-12-20,Large,"PyTorch, MLflow, Scikit-learn",46611,66817
"Thompson, Baker and Ortega",Finance,Data Scientist,"Reinforcement Learning, Pandas, Flask",Senior,Internship,"Parkerfort, IT",2024-10-25,Mid,"PyTorch, FastAPI, TensorFlow",95581.5,151635
"Bailey, Wilson and Fry",Retail,Computer Vision Engineer,"LangChain, Azure, GCP, Python, R, C++",Senior,Internship,"South Michael, KM",2023-12-29,Startup,"KDB+, MLflow, Scikit-learn",41220,94501
"Gallagher, Montes and Rowe",Tech,Data Scientist,"AWS, Flask, Reinforcement Learning, LangChain, R",Senior,Internship,"New Brian, KH",2024-01-08,Mid,"FastAPI, TensorFlow, MLflow",140240,228848
"Chan, Miller and Meyer",E-commerce,AI Product Manager,"Pandas, Reinforcement Learning, NumPy, TensorFlow, Keras, CUDA",Mid,Contract,"Lake Michele, AU",2024-12-06,Mid,"FastAPI, TensorFlow",95581.5,151635
Boyd PLC,Finance,ML Engineer,"Keras, Scikit-learn, FastAPI, Azure, GCP, CUDA",Mid,Internship,"Johnsonport, BT",2025-07-12,Large,"TensorFlow, LangChain, BigQuery",103253,177379
Evans Group,Retail,NLP Engineer,"GCP, Keras, Flask, LangChain, TensorFlow, Python",Entry,Full-time,"South Jonathanhaven, PL",2024-10-07,Mid,BigQuery,132044,204939
Martin-Torres,Tech,AI Researcher,"Python, Azure, Power BI, Pandas, C++, FastAPI",Mid,Internship,"Michaelport, KW",2024-11-27,Startup,"Scikit-learn, MLflow",50076,116015
"Gross, Rivera and Gutierrez",Automotive,Data Scientist,"LangChain, NumPy, Pandas, Azure, Scikit-learn, Hugging Face",Entry,Remote,"Olivermouth, NG",2024-01-21,Startup,KDB+,92423,112166
Holland LLC,Retail,NLP Engineer,"Scikit-learn, MLflow, AWS",Entry,Internship,"Stewartborough, LV",2023-10-03,Mid,"Scikit-learn, MLflow",95581.5,151635
"Novak, Clark and Sullivan",E-commerce,NLP Engineer,"FastAPI, LangChain, R",Mid,Remote,"Robinview, NZ",2024-09-29,Mid,"FastAPI, KDB+, BigQuery",57442,108303
Hall PLC,Tech,Quant Researcher,"Flask, Pandas, Reinforcement Learning, Scikit-learn, NumPy",Entry,Internship,"Ryanshire, TL",2023-10-21,Mid,"FastAPI, KDB+",125288,172272
Gamble-Cardenas,E-commerce,Quant Researcher,"R, Flask, Power BI",Entry,Contract,"Kristenside, ZM",2024-09-30,Large,TensorFlow,109244,192898
"Sutton, Mcdonald and Vang",Automotive,AI Product Manager,"PyTorch, Hugging Face, SQL, MLflow, R, Python",Senior,Full-time,"Jessicafort, MR",2024-03-10,Large,"KDB+, LangChain",89405,129344
Foster and Sons,Tech,Computer Vision Engineer,"GCP, Flask, PyTorch, AWS, Excel, Keras",Mid,Internship,"Katelynstad, JM",2024-04-04,Mid,"KDB+, FastAPI, MLflow",125228,201338
Myers Group,E-commerce,AI Product Manager,"FastAPI, Reinforcement Learning, AWS",Mid,Contract,"Williamburgh, KI",2023-12-15,Mid,"BigQuery, MLflow, KDB+",119543,164615
Davis-French,Automotive,Computer Vision Engineer,"AWS, Excel, Flask, PyTorch",Senior,Internship,"New Miranda, YE",2025-05-18,Large,"LangChain, FastAPI",69269,155758
"Rivera, Kennedy and Smith",Retail,AI Product Manager,"PyTorch, GCP, Excel, Flask",Entry,Full-time,"East Debraport, GT",2025-06-24,Large,"FastAPI, MLflow, PyTorch",75472,162820
"Romero, Clark and Williams",Retail,Data Scientist,"GCP, Reinforcement Learning, AWS",Senior,Full-time,"East Josephland, KM",2025-06-23,Startup,"TensorFlow, PyTorch",120392,155826
Wong-Miller,Tech,ML Engineer,"Flask, NumPy, Scikit-learn",Entry,Full-time,"Lake Joseph, DO",2024-05-09,Large,LangChain,83724,177161
"Franco, Green and Green",Finance,ML Engineer,"MLflow, GCP, Python, R, TensorFlow",Senior,Internship,"Michelleborough, AT",2024-01-25,Mid,MLflow,43526,94615
Gould Inc,Automotive,Computer Vision Engineer,"Azure, CUDA, LangChain, Hugging Face",Mid,Contract,"North Amber, CH",2024-01-05,Large,Scikit-learn,69190,92823
"Page, Garrett and Little",Tech,Computer Vision Engineer,"Keras, Pandas, CUDA",Entry,Full-time,"South Kelly, ZA",2025-08-25,Mid,"LangChain, PyTorch, KDB+",142140,185091
Moore LLC,Finance,Data Scientist,"Reinforcement Learning, Power BI, Hugging Face, CUDA, Pandas",Senior,Internship,"West Gregory, MC",2023-11-29,Large,"TensorFlow, BigQuery, Scikit-learn",137496,177845
Schaefer-Mcbride,Automotive,Data Scientist,"AWS, MLflow, Hugging Face, Flask",Mid,Contract,"South Kurtberg, VC",2024-03-19,Mid,BigQuery,95581.5,151635
Wallace and Sons,Automotive,Computer Vision Engineer,"NumPy, R, Pandas",Entry,Internship,"Meganmouth, SA",2023-10-17,Mid,"MLflow, KDB+",124300,220342
"Le, Morris and Hernandez",Retail,Data Scientist,"TensorFlow, Azure, C++, Scikit-learn, Python, Flask",Entry,Full-time,"Ralphbury, PA",2024-10-06,Startup,"Scikit-learn, FastAPI, BigQuery",149747,212159
"Johnson, Gomez and Neal",E-commerce,Data Scientist,"SQL, MLflow, LangChain",Senior,Remote,"East Elizabeth, TO",2025-01-06,Large,"FastAPI, Scikit-learn",58550,113209
Campbell-Yu,Healthcare,ML Engineer,"Keras, MLflow, Hugging Face, FastAPI, Azure",Mid,Contract,"New Nicholas, GN",2025-01-16,Large,KDB+,136005,206557
"Martinez, Gonzalez and Rasmussen",Automotive,Data Analyst,"Excel, Azure, Hugging Face, FastAPI",Entry,Contract,"Gregorytown, QA",2024-07-12,Large,TensorFlow,95581.5,151635
"Gonzalez, Roth and Gilbert",Healthcare,Quant Researcher,"AWS, Keras, FastAPI",Entry,Remote,"Espinozaside, NG",2025-06-24,Large,LangChain,133857,182147
"Brown, Morris and Young",Education,AI Researcher,"Power BI, Keras, Pandas, Excel, NumPy, PyTorch",Entry,Contract,"West Alicia, EC",2024-05-24,Large,"TensorFlow, Scikit-learn",117573,173851
Avila-Johnson,Healthcare,AI Researcher,"NumPy, Hugging Face, Keras, Azure",Senior,Internship,"Marshallfort, IT",2025-07-11,Startup,"BigQuery, TensorFlow",95581.5,151635
Lynch and Sons,E-commerce,Quant Researcher,"Scikit-learn, Pandas, Python, Keras",Mid,Remote,"Dennisland, BS",2025-03-09,Startup,"Scikit-learn, KDB+",56646,83703
Haynes-George,Education,Computer Vision Engineer,"Flask, GCP, FastAPI, Reinforcement Learning",Mid,Full-time,"Port Jeremiahshire, BT",2023-10-16,Mid,"Scikit-learn, KDB+, PyTorch",102732,135345
Fowler-Stewart,Finance,AI Researcher,"Hugging Face, PyTorch, Power BI, Pandas, Flask",Senior,Remote,"Taylorfort, KP",2024-09-23,Large,"MLflow, LangChain",45791,105166
"Powell, Ruiz and Smith",Finance,AI Product Manager,"CUDA, NumPy, TensorFlow, Keras",Entry,Full-time,"Adkinshaven, CZ",2025-04-08,Mid,"KDB+, MLflow",59099,87832
"Richardson, Rojas and Patton",Finance,Quant Researcher,"Python, R, TensorFlow, AWS, Hugging Face, GCP",Entry,Contract,"East Carolinehaven, IE",2023-09-23,Mid,"BigQuery, KDB+, MLflow",47248,70576
Patterson-Green,Finance,Computer Vision Engineer,"NumPy, TensorFlow, Reinforcement Learning, Keras",Entry,Full-time,"Mooreland, NZ",2024-10-27,Startup,"BigQuery, TensorFlow, PyTorch",66493,158190
Conner-Rivera,Retail,Data Analyst,"LangChain, Keras, SQL, NumPy, TensorFlow, Scikit-learn",Entry,Internship,"Lake Andrewchester, DJ",2025-02-08,Large,"MLflow, FastAPI",114601,211800
Johnson-Murphy,Education,Data Scientist,"R, FastAPI, NumPy, PyTorch, Excel",Entry,Full-time,"North Joshuahaven, DO",2024-12-16,Mid,KDB+,117083,171872
"Freeman, Williams and Thomas",Finance,ML Engineer,"FastAPI, Azure, Pandas, Keras",Entry,Internship,"Barajaston, DZ",2024-01-19,Large,"Scikit-learn, TensorFlow",109164,147105
Reilly PLC,Education,ML Engineer,"AWS, Azure, C++, NumPy",Senior,Internship,"Bennettfurt, IQ",2025-09-19,Startup,"Scikit-learn, BigQuery, LangChain",140820,232170
"Sosa, Whitney and Dickerson",Tech,AI Product Manager,"GCP, R, Flask, Azure, Pandas, FastAPI",Mid,Remote,"Williamshire, TJ",2025-05-27,Startup,PyTorch,143360,229787
Johnson PLC,Education,NLP Engineer,"TensorFlow, GCP, Flask, Excel",Senior,Internship,"Jenniferburgh, SC",2024-11-29,Startup,"MLflow, PyTorch",93833,129073
Rosales-Peterson,Tech,ML Engineer,"TensorFlow, Flask, AWS, Python",Entry,Internship,"Gonzaleshaven, MR",2024-09-26,Large,TensorFlow,52854,117986
"Salazar, Wiggins and Campbell",Healthcare,AI Product Manager,"Reinforcement Learning, C++, Keras",Senior,Remote,"North Alexandra, MZ",2025-07-29,Large,"BigQuery, MLflow, PyTorch",50279,67460
Torres PLC,Automotive,Data Scientist,"SQL, Hugging Face, CUDA, GCP, NumPy, C++",Senior,Full-time,"Rodriguezmouth, AE",2024-06-04,Mid,"PyTorch, Scikit-learn",95581.5,151635
"Zuniga, Coleman and Guzman",Finance,Computer Vision Engineer,"Python, TensorFlow, Azure, PyTorch, Power BI, Hugging Face",Entry,Contract,"South Jamesstad, GT",2025-07-06,Mid,"TensorFlow, KDB+",95581.5,151635
Oliver-Miller,E-commerce,AI Product Manager,"GCP, SQL, Flask, C++, Scikit-learn",Senior,Internship,"Sarahton, ER",2025-06-11,Mid,"BigQuery, FastAPI, Scikit-learn",111908,130116
"Mullins, Butler and Moses",Education,AI Researcher,"LangChain, Scikit-learn, Hugging Face",Senior,Remote,"South Jason, PG",2025-06-12,Large,FastAPI,109390,202587
"Roberson, Dunlap and Todd",E-commerce,NLP Engineer,"FastAPI, SQL, GCP, Pandas, CUDA, Reinforcement Learning",Entry,Internship,"New Samanthaberg, BD",2024-07-11,Large,"FastAPI, Scikit-learn, KDB+",101444,169137
Hammond-Miles,Finance,Data Scientist,"MLflow, Python, AWS, NumPy, Flask, C++",Entry,Full-time,"Lake Brianna, ET",2025-09-05,Large,"FastAPI, PyTorch",117133,215594
"Walls, Young and Cook",E-commerce,Data Scientist,"Reinforcement Learning, Keras, MLflow, Flask, Pandas, AWS",Entry,Contract,"New Nicole, AZ",2024-02-12,Large,MLflow,95581.5,151635
Henderson-Douglas,Automotive,AI Product Manager,"C++, Scikit-learn, PyTorch, SQL, Reinforcement Learning, Hugging Face",Entry,Full-time,"Larsenport, FM",2024-12-07,Large,KDB+,92033,164027
Waters Group,Healthcare,AI Researcher,"Azure, CUDA, Excel",Senior,Full-time,"Lewiston, HN",2024-12-18,Large,KDB+,97058,148912
"Evans, Keller and Macdonald",E-commerce,ML Engineer,"Excel, Flask, SQL, R",Senior,Internship,"Sanchezland, LI",2023-11-01,Large,MLflow,70051,83613
"Smith, Smith and Calhoun",Healthcare,ML Engineer,"Keras, NumPy, Flask, Python",Mid,Full-time,"Jamesburgh, LS",2024-04-07,Startup,FastAPI,125724,223370
Holmes Inc,Finance,AI Product Manager,"LangChain, NumPy, CUDA",Senior,Contract,"Bendershire, AG",2024-04-22,Startup,"BigQuery, KDB+",131442,152901
Gordon-Bradley,Education,Quant Researcher,"R, Excel, SQL, MLflow, PyTorch, CUDA",Senior,Remote,"Higginsview, NI",2023-10-30,Mid,Scikit-learn,79312,97051
Garrison-Rosales,Healthcare,Quant Researcher,"GCP, Python, R",Mid,Remote,"New Henryshire, TZ",2024-09-17,Startup,LangChain,115682,141436
Beasley LLC,Tech,Data Analyst,"GCP, PyTorch, Keras, Reinforcement Learning, C++",Mid,Contract,"Port Christinaburgh, TN",2024-06-16,Mid,"Scikit-learn, FastAPI",138711,221786
"Miller, Harris and Johnson",Retail,NLP Engineer,"FastAPI, Pandas, MLflow, R",Entry,Full-time,"Jessicaport, WS",2024-07-27,Mid,"MLflow, TensorFlow, PyTorch",46308,82147
"Miller, Hahn and Jackson",Finance,AI Researcher,"Reinforcement Learning, AWS, Azure",Mid,Remote,"Marquezchester, SL",2024-03-16,Mid,"LangChain, Scikit-learn",46859,111642
Smith-Mcintyre,Retail,ML Engineer,"AWS, Flask, Reinforcement Learning, Scikit-learn, Excel",Senior,Remote,"North Sheilaville, IN",2025-06-25,Startup,"MLflow, Scikit-learn, BigQuery",135050,200313
Martinez Inc,Healthcare,ML Engineer,"FastAPI, Pandas, MLflow",Mid,Full-time,"West Morgan, ST",2024-05-16,Startup,FastAPI,106176,132983
Jones-Robertson,Education,Data Analyst,"FastAPI, Excel, Pandas",Entry,Remote,"Lake Charles, DM",2025-01-03,Mid,MLflow,61825,157940
Schneider-Watson,Finance,Quant Researcher,"C++, Pandas, CUDA, Scikit-learn",Mid,Contract,"Rosston, PY",2025-02-25,Startup,"BigQuery, PyTorch, MLflow",134559,195478
"Thompson, Castillo and Farrell",Retail,AI Researcher,"Keras, Hugging Face, Power BI, C++, SQL, Python",Mid,Full-time,"North Jennifer, NA",2024-07-25,Startup,MLflow,79291,125380
Acevedo Ltd,Retail,AI Product Manager,"TensorFlow, Pandas, Reinforcement Learning",Entry,Contract,"North Martin, AU",2024-11-24,Startup,"KDB+, PyTorch, FastAPI",48218,71004
"Flynn, Arellano and Porter",E-commerce,AI Product Manager,"Pandas, Reinforcement Learning, TensorFlow",Entry,Internship,"Reesebury, RO",2025-08-22,Mid,Scikit-learn,42270,120885
Harper and Sons,Retail,Data Analyst,"Reinforcement Learning, Flask, Hugging Face",Mid,Full-time,"South Roystad, TR",2023-12-15,Startup,"FastAPI, MLflow, KDB+",106925,155924
Molina-Dixon,E-commerce,AI Product Manager,"AWS, SQL, Python, LangChain, Keras, Azure",Mid,Remote,"Lake Eric, CD",2024-02-22,Startup,"Scikit-learn, LangChain",129266,186688
"Baker, Smith and Phillips",Retail,AI Product Manager,"R, Excel, NumPy",Mid,Full-time,"Lake Christopher, LA",2024-07-02,Mid,"Scikit-learn, MLflow, PyTorch",119647,168743
"Robertson, Miller and Watson",E-commerce,Data Scientist,"AWS, Power BI, MLflow, C++",Senior,Full-time,"Cynthiamouth, NE",2024-08-14,Mid,MLflow,51216,149871
"Bowman, Sutton and Richmond",Healthcare,AI Researcher,"Pandas, Azure, Hugging Face, Python",Senior,Internship,"Ericburgh, BR",2023-10-07,Mid,"MLflow, KDB+, FastAPI",143939,227202
Moore-Wood,Finance,Data Analyst,"SQL, FastAPI, Flask, Hugging Face",Entry,Full-time,"South Christopherchester, MG",2024-11-28,Large,"LangChain, BigQuery",95581.5,151635
"Lee, Mitchell and Neal",Education,ML Engineer,"Hugging Face, Azure, C++, Reinforcement Learning",Mid,Internship,"New Shane, MM",2024-10-08,Mid,"BigQuery, PyTorch, FastAPI",92763,144582
"Burton, Reynolds and Dougherty",Retail,Data Scientist,"Scikit-learn, C++, GCP, FastAPI",Senior,Contract,"East Monicastad, YE",2024-05-26,Startup,"TensorFlow, Scikit-learn, BigQuery",87741,187018
Kelly Ltd,Healthcare,Data Scientist,"C++, SQL, Reinforcement Learning, PyTorch",Entry,Full-time,"South Brett, ML",2024-11-07,Mid,"LangChain, Scikit-learn",70119,104669
"Thompson, Morris and Griffin",Education,Data Scientist,"AWS, SQL, Reinforcement Learning, Keras, Flask, C++",Mid,Internship,"Michaelside, TV",2025-07-03,Startup,Scikit-learn,96233,154946
Carr Inc,Healthcare,Data Scientist,"SQL, R, MLflow, Flask, Reinforcement Learning, Python",Mid,Full-time,"Browntown, KR",2024-05-08,Large,"BigQuery, LangChain, KDB+",84163,157649
"Townsend, Strickland and Rodriguez",Automotive,AI Product Manager,"GCP, Azure, AWS, SQL, MLflow, CUDA",Mid,Internship,"East Michael, MD",2024-06-30,Startup,"TensorFlow, KDB+, FastAPI",108145,192990
Pineda Inc,E-commerce,Computer Vision Engineer,"Keras, GCP, CUDA, AWS, PyTorch",Mid,Full-time,"Lauriehaven, CV",2025-08-22,Large,BigQuery,108715,193682
Hudson and Sons,E-commerce,AI Product Manager,"Python, AWS, PyTorch, NumPy",Senior,Full-time,"East Keithview, AR",2025-03-09,Large,MLflow,147144,199817
Miller-Burton,Automotive,AI Product Manager,"PyTorch, GCP, Scikit-learn, LangChain, Reinforcement Learning, Keras",Entry,Remote,"West Kennethton, PA",2024-08-17,Startup,TensorFlow,145610,225001
Murillo Inc,Healthcare,Computer Vision Engineer,"Azure, Hugging Face, Excel, Scikit-learn",Mid,Contract,"Jonesburgh, BH",2025-02-04,Mid,"PyTorch, FastAPI, TensorFlow",60515,146870
Alvarez-Butler,Tech,Data Analyst,"C++, CUDA, Scikit-learn, Keras",Entry,Internship,"North James, HT",2025-08-18,Mid,"KDB+, BigQuery",120811,193549
Glenn-Brady,Retail,Quant Researcher,"FastAPI, Scikit-learn, AWS, NumPy",Mid,Remote,"North Dakota, TW",2025-07-27,Startup,TensorFlow,61543,126761
Bryant-Martin,Healthcare,ML Engineer,"Reinforcement Learning, Flask, NumPy, Keras",Entry,Internship,"East John, NR",2024-10-17,Startup,"MLflow, PyTorch, FastAPI",147220,158056
Bailey PLC,Retail,Data Analyst,"Hugging Face, Excel, SQL, LangChain",Entry,Internship,"Port Elizabeth, SY",2023-11-27,Startup,"KDB+, BigQuery",63354,160413
"Swanson, Young and Martin",Tech,Quant Researcher,"PyTorch, LangChain, FastAPI",Senior,Full-time,"East Alexis, LK",2024-02-15,Mid,KDB+,131169,174872
Hancock-Wiggins,Healthcare,ML Engineer,"Scikit-learn, NumPy, Power BI, Azure, FastAPI, Reinforcement Learning",Senior,Internship,"North Adamburgh, AO",2024-08-03,Startup,"FastAPI, LangChain, TensorFlow",41566,134888
Mcconnell Ltd,E-commerce,Quant Researcher,"Keras, GCP, PyTorch",Entry,Internship,"New Allisonshire, MN",2025-02-08,Startup,Scikit-learn,95581.5,151635
Patton and Sons,Tech,ML Engineer,"Scikit-learn, MLflow, Python, R, Pandas, FastAPI",Entry,Internship,"Jacktown, TW",2025-06-10,Startup,MLflow,95354,126587
Gray-Dixon,Healthcare,Computer Vision Engineer,"AWS, GCP, CUDA, MLflow",Senior,Full-time,"West Maria, ML",2023-10-01,Startup,"LangChain, KDB+, FastAPI",142291,215970
"Miller, Casey and Gray",Education,Computer Vision Engineer,"Scikit-learn, Excel, Power BI, Python",Entry,Remote,"South Michael, CD",2025-05-23,Mid,KDB+,40629,72042
Andersen Inc,Tech,Data Scientist,"LangChain, Pandas, Reinforcement Learning, R, FastAPI",Mid,Internship,"Smithbury, BT",2023-11-10,Mid,"MLflow, KDB+, PyTorch",54969,146111
"Bernard, Henry and Zamora",Education,Quant Researcher,"PyTorch, Power BI, Pandas, Hugging Face",Mid,Internship,"Breannahaven, MA",2025-08-21,Startup,BigQuery,108252,151627
Frost Ltd,Education,AI Researcher,"Hugging Face, SQL, LangChain, FastAPI, Flask",Senior,Remote,"Vazquezton, BH",2024-04-23,Startup,"MLflow, TensorFlow",70656,152148
Lewis Group,E-commerce,ML Engineer,"FastAPI, C++, MLflow",Senior,Contract,"Williamland, KN",2025-05-09,Startup,"FastAPI, TensorFlow",73293,127143
"Tucker, Strong and Bond",Retail,AI Researcher,"R, C++, Keras, Excel, Azure",Mid,Remote,"Wilsonmouth, PW",2024-04-13,Large,"MLflow, PyTorch, Scikit-learn",58659,98311
Livingston-Phillips,E-commerce,NLP Engineer,"PyTorch, SQL, Python",Entry,Remote,"Knightstad, BD",2024-08-31,Startup,"FastAPI, LangChain",124301,140446
Snyder Group,Retail,AI Product Manager,"TensorFlow, GCP, CUDA, R",Entry,Contract,"Jenniferburgh, AE",2023-09-21,Large,LangChain,113791,138812
"Herman, Johnson and Barnes",Tech,Data Analyst,"SQL, CUDA, LangChain, Scikit-learn, Reinforcement Learning",Mid,Remote,"Maciasfort, LR",2025-05-09,Large,"KDB+, LangChain, BigQuery",145000,223134
Perez-Bailey,Education,AI Product Manager,"AWS, Power BI, FastAPI",Entry,Contract,"Santiagoshire, PH",2023-12-04,Mid,"MLflow, BigQuery",95581.5,151635
"Summers, Swanson and Brown",Tech,NLP Engineer,"Reinforcement Learning, SQL, C++, Pandas",Entry,Remote,"West Cynthiaburgh, AD",2023-12-28,Startup,"BigQuery, FastAPI, MLflow",81624,95183
Schmidt-Payne,Finance,Computer Vision Engineer,"Reinforcement Learning, PyTorch, GCP, R, Excel",Senior,Full-time,"Kyleside, JP",2024-02-26,Startup,"LangChain, KDB+",99722,119999
"Ortiz, Hill and Anderson",Healthcare,Data Analyst,"Pandas, Excel, FastAPI, Reinforcement Learning, LangChain",Entry,Remote,"West Cynthiaton, SM",2024-01-11,Startup,"TensorFlow, FastAPI, PyTorch",102547,147531
Dalton-Galloway,E-commerce,Quant Researcher,"Azure, Excel, Power BI, C++, NumPy",Mid,Internship,"East Priscilla, DO",2024-12-04,Mid,"KDB+, FastAPI, MLflow",124126,178761
Brown-Garcia,Healthcare,Computer Vision Engineer,"PyTorch, AWS, LangChain, Pandas, GCP",Mid,Internship,"Dillonville, TL",2024-04-28,Mid,"FastAPI, LangChain",100455,199953
"Ramirez, Morrison and Shaffer",Healthcare,ML Engineer,"SQL, Azure, MLflow, LangChain",Mid,Internship,"East Bobbymouth, LU",2024-12-12,Mid,KDB+,142229,217303
Fisher LLC,Automotive,NLP Engineer,"AWS, NumPy, CUDA, Azure, SQL, Hugging Face",Mid,Full-time,"Changview, CU",2024-06-24,Mid,"TensorFlow, FastAPI",99303,165542
Barnes-Gonzalez,Automotive,NLP Engineer,"Keras, PyTorch, Azure, C++, Python, LangChain",Mid,Remote,"New Cameron, IR",2024-06-30,Mid,LangChain,127730,194274
"Mann, Taylor and Martin",Tech,Computer Vision Engineer,"LangChain, Scikit-learn, Hugging Face",Mid,Full-time,"Wendytown, KR",2024-02-10,Startup,"MLflow, Scikit-learn, FastAPI",68119,160582
Bush and Sons,Education,Computer Vision Engineer,"PyTorch, CUDA, Keras",Entry,Contract,"Robertstown, GA",2025-05-23,Startup,BigQuery,72082,92167
"Callahan, Sullivan and Flynn",Retail,Computer Vision Engineer,"Hugging Face, GCP, R, Scikit-learn",Mid,Full-time,"Port Jennifer, ES",2023-10-06,Large,"MLflow, TensorFlow, KDB+",124909,151333
Joseph-Romero,Retail,Quant Researcher,"Power BI, LangChain, FastAPI, Flask, SQL, Scikit-learn",Mid,Contract,"Kristenberg, AL",2024-10-15,Startup,"BigQuery, MLflow, TensorFlow",102584,198324
"Singh, Shannon and Castaneda",Automotive,AI Product Manager,"NumPy, Reinforcement Learning, GCP, Azure, LangChain, Scikit-learn",Entry,Remote,"West Justin, IN",2024-10-14,Mid,"KDB+, TensorFlow, LangChain",51986,73985
"Johnson, Sweeney and Hall",Tech,AI Researcher,"Azure, Flask, PyTorch, Excel, Pandas",Mid,Contract,"Lindachester, PA",2024-09-20,Startup,"FastAPI, MLflow, PyTorch",132003,197338
Wu Inc,Healthcare,Data Analyst,"TensorFlow, Power BI, MLflow, Flask, CUDA, Reinforcement Learning",Entry,Remote,"Barnesfurt, SV",2025-07-03,Large,"BigQuery, FastAPI, MLflow",44162,104297
Lopez-Williams,Healthcare,Data Analyst,"PyTorch, NumPy, SQL, FastAPI",Senior,Contract,"North Mark, IN",2024-07-23,Mid,FastAPI,62381,112625
Hughes-Figueroa,Healthcare,Computer Vision Engineer,"TensorFlow, Pandas, Excel, LangChain, MLflow",Entry,Internship,"Castilloborough, CH",2025-05-07,Mid,"MLflow, BigQuery",144304,184146
"Randall, Grant and Rosario",Finance,AI Researcher,"Hugging Face, FastAPI, AWS, Scikit-learn, Keras",Mid,Internship,"Kimberlyfort, BJ",2025-06-08,Startup,"KDB+, FastAPI",55918,137614
Griffith Ltd,Education,NLP Engineer,"SQL, Pandas, AWS, Power BI, Scikit-learn",Entry,Internship,"Johnstad, ET",2025-03-17,Mid,"Scikit-learn, PyTorch",59275,147698
"Smith, Woods and Tucker",Retail,Data Analyst,"TensorFlow, AWS, Flask",Entry,Full-time,"South Dylanmouth, SY",2025-08-10,Mid,KDB+,51956,109837
Frazier Inc,Automotive,NLP Engineer,"Hugging Face, FastAPI, TensorFlow, GCP",Mid,Contract,"North Joel, PG",2025-08-08,Mid,TensorFlow,61087,81523
"Torres, Campbell and Krause",Tech,ML Engineer,"TensorFlow, Keras, R",Mid,Internship,"East Hollyfurt, AR",2024-04-07,Large,"MLflow, TensorFlow, KDB+",132865,203559
Snyder Group,Finance,NLP Engineer,"CUDA, Azure, Python, Scikit-learn, Power BI",Senior,Remote,"North Susan, SG",2025-03-16,Mid,BigQuery,146176,197876
Lucas-Morris,Retail,Quant Researcher,"Azure, TensorFlow, AWS, Flask, Reinforcement Learning, LangChain",Mid,Remote,"Jordanshire, PS",2024-07-14,Mid,"KDB+, BigQuery",95581.5,151635
Martinez-Weaver,Education,Data Scientist,"Python, Power BI, Flask",Senior,Full-time,"Lake Valerie, IN",2024-03-22,Mid,"LangChain, KDB+",116015,126987
Mendez and Sons,Retail,AI Researcher,"Scikit-learn, AWS, Python, MLflow",Entry,Internship,"Jonesbury, PA",2024-08-19,Mid,FastAPI,141959,220411
"Johnson, Wright and Quinn",Automotive,NLP Engineer,"LangChain, R, C++",Entry,Internship,"North Brian, FI",2024-12-23,Startup,"PyTorch, Scikit-learn",139741,206786
"Mitchell, Collins and Collins",E-commerce,Computer Vision Engineer,"Azure, C++, TensorFlow, Hugging Face, Python, PyTorch",Senior,Internship,"Cobbtown, SZ",2025-02-06,Large,TensorFlow,149199,230455
Williams-Torres,E-commerce,Data Analyst,"CUDA, SQL, Keras, Azure, LangChain, Reinforcement Learning",Entry,Remote,"Port Tiffanystad, DO",2024-12-24,Large,"MLflow, PyTorch",115250,161664
